amostras	ano	ensaio	repeticao	peak_1	trough_1	breakdown	final_visc	setback	peak_time	pasting_temp	umidade_percent
BGM-0499	2011	BR.BAG2.PT.11.EA1	1	4213.00	1498.00	2715.00	2568.00	1070.00	70.25	NA	NA
BGM-0499	2011	BR.BAG2.PT.11.EA1	2	4157.00	1447.00	2710.00	2518.00	1071.00	69.35	NA	NA
BGM-0501	2011	BR.BAG2.PT.11.EA1	1	4914.00	1559.00	3355.00	2704.00	1145.00	70.25	NA	NA
BGM-0501	2011	BR.BAG2.PT.11.EA1	2	4815.00	1550.00	3265.00	2755.00	1205.00	70.30	NA	NA
BGM-0503	2011	BR.BAG2.PT.11.EA1	2	4249.00	1779.00	2470.00	2877.00	1217.00	74.30	NA	NA
BGM-0504	2011	BR.BAG2.PT.11.EA1	1	4954.00	1784.00	3170.00	2758.00	1022.00	70.30	NA	NA
BGM-0504	2011	BR.BAG2.PT.11.EA1	2	4970.00	1803.00	3167.00	2777.00	1027.00	69.35	NA	NA
BGM-0505	2011	BR.BAG2.PT.11.EA1	1	4681.00	1534.00	3147.00	2349.00	858.00	69.45	NA	NA
BGM-0505	2011	BR.BAG2.PT.11.EA1	2	4566.00	1520.00	3046.00	2342.00	848.00	69.30	NA	NA
BGM-0507	2011	BR.BAG2.PT.11.EA1	1	5096.00	1490.00	3606.00	3032.00	1542.00	71.00	NA	NA
BGM-0507	2011	BR.BAG2.PT.11.EA1	2	5140.00	1611.00	3529.00	3053.00	1442.00	71.70	NA	NA
BGM-0509	2011	BR.BAG2.PT.11.EA1	1	3755.00	1451.00	2304.00	2310.00	859.00	70.95	NA	NA
BGM-0509	2011	BR.BAG2.PT.11.EA1	2	3740.00	1463.00	2277.00	2289.00	826.00	71.95	NA	NA
BGM-0510	2011	BR.BAG2.PT.11.EA1	1	5692.00	2019.00	3673.00	2933.00	966.00	69.35	NA	NA
BGM-0510	2011	BR.BAG2.PT.11.EA1	2	5683.00	2027.00	3656.00	2992.00	965.00	69.45	NA	NA
BGM-0512	2011	BR.BAG2.PT.11.EA1	2	4527.00	1664.00	2863.00	2609.00	1015.00	72.60	NA	NA
BGM-0513	2011	BR.BAG2.PT.11.EA1	2	3999.00	1394.00	2605.00	1924.00	533.00	70.95	NA	NA
BGM-0514	2011	BR.BAG2.PT.11.EA1	2	4478.00	1999.00	2479.00	3021.00	1218.00	71.00	NA	NA
BGM-0515	2011	BR.BAG2.PT.11.EA1	2	4508.00	1613.00	2895.00	2494.00	889.00	71.10	NA	NA
BGM-0516	2011	BR.BAG2.PT.11.EA1	2	4408.00	1578.00	2830.00	2308.00	730.00	71.00	NA	NA
BGM-0517	2011	BR.BAG2.PT.11.EA1	2	4324.00	1645.00	2679.00	2746.00	1139.00	73.35	NA	NA
BGM-0519	2011	BR.BAG2.PT.11.EA1	2	4324.00	1561.00	2763.00	2521.00	1003.00	70.95	NA	NA
BGM-0520	2011	BR.BAG2.PT.11.EA1	1	4923.00	1614.00	3309.00	2469.00	893.00	69.45	NA	NA
BGM-0520	2011	BR.BAG2.PT.11.EA1	2	4655.00	1566.00	3089.00	2497.50	991.50	70.20	NA	NA
BGM-0521	2011	BR.BAG2.PT.11.EA1	1	4331.00	1267.00	3064.00	1800.00	535.00	71.80	NA	NA
BGM-0521	2011	BR.BAG2.PT.11.EA1	2	4297.00	1247.00	3050.00	1826.00	586.00	70.15	NA	NA
BGM-0522	2011	BR.BAG2.PT.11.EA1	2	5310.00	1876.00	3434.00	2516.00	675.00	70.85	NA	NA
BGM-0523	2011	BR.BAG2.PT.11.EA1	2	4612.00	1668.00	2944.00	2703.00	1085.00	71.80	NA	NA
BGM-0524	2011	BR.BAG2.PT.11.EA1	2	4632.00	1674.00	2958.00	2251.00	593.00	68.65	NA	NA
BGM-0526	2011	BR.BAG2.PT.11.EA1	2	4440.00	1151.00	3289.00	1657.00	510.00	71.05	NA	NA
BGM-0528	2011	BR.BAG2.PT.11.EA1	2	4504.00	1706.00	2798.00	2503.00	835.00	74.20	NA	NA
BGM-0529	2011	BR.BAG2.PT.11.EA1	2	4596.00	1571.00	3025.00	2516.00	945.00	70.20	NA	NA
BGM-0530	2011	BR.BAG2.PT.11.EA1	2	4997.00	1914.00	3083.00	2682.00	828.00	70.20	NA	NA
BGM-0531	2011	BR.BAG2.PT.11.EA1	1	4740.00	1671.00	3069.00	2841.00	1272.00	71.10	NA	NA
BGM-0531	2011	BR.BAG2.PT.11.EA1	2	4707.00	1684.00	3023.00	2800.00	1226.00	71.85	NA	NA
BGM-0532	2011	BR.BAG2.PT.11.EA1	1	4755.00	1884.00	2871.00	2888.00	1102.00	72.60	NA	NA
BGM-0532	2011	BR.BAG2.PT.11.EA1	2	4863.50	1823.00	3040.50	2854.50	1076.50	70.60	NA	NA
BGM-0533	2011	BR.BAG2.PT.11.EA1	1	4338.00	1533.00	2805.00	2432.00	915.00	69.55	NA	NA
BGM-0533	2011	BR.BAG2.PT.11.EA1	2	4061.00	1533.00	2528.00	2404.00	899.00	68.60	NA	NA
BGM-0538	2011	BR.BAG2.PT.11.EA1	2	4831.00	2087.00	2744.00	3238.00	1302.00	73.30	NA	NA
BGM-0539	2011	BR.BAG2.PT.11.EA1	1	4876.00	1458.00	3418.00	2625.00	1167.00	68.60	NA	NA
BGM-0539	2011	BR.BAG2.PT.11.EA1	2	4916.00	1457.00	3459.00	2626.00	1169.00	68.65	NA	NA
BGM-0540	2011	BR.BAG2.PT.11.EA1	1	4616.00	1686.00	2930.00	2760.00	1074.00	71.85	NA	NA
BGM-0540	2011	BR.BAG2.PT.11.EA1	2	4708.00	1681.00	3027.00	2821.00	1140.00	71.80	NA	NA
BGM-0541	2011	BR.BAG2.PT.11.EA1	1	4246.00	1403.00	2843.00	2377.00	974.00	66.95	NA	NA
BGM-0541	2011	BR.BAG2.PT.11.EA1	2	4272.00	1370.00	2902.00	2424.00	1054.00	66.95	NA	NA
BGM-0545	2011	BR.BAG2.PT.11.EA1	1	5172.00	1723.00	3449.00	2630.00	949.00	69.45	NA	NA
BGM-0545	2011	BR.BAG2.PT.11.EA1	2	5541.00	1829.00	3712.00	2695.00	866.00	69.40	NA	NA
BGM-0546	2011	BR.BAG2.PT.11.EA1	1	5121.00	1973.00	3148.00	2879.00	945.00	69.55	NA	NA
BGM-0546	2011	BR.BAG2.PT.11.EA1	2	5058.00	1987.00	3071.00	2810.00	906.00	68.55	NA	NA
BGM-0548	2011	BR.BAG2.PT.11.EA1	1	4632.00	1912.00	2720.00	3267.00	1516.00	71.80	NA	NA
BGM-0548	2011	BR.BAG2.PT.11.EA1	2	4556.00	1916.00	2640.00	3218.00	1409.00	70.95	NA	NA
BGM-0549	2011	BR.BAG2.PT.11.EA1	1	4997.00	2083.00	2914.00	3132.00	1149.00	71.80	NA	NA
BGM-0549	2011	BR.BAG2.PT.11.EA1	2	4931.00	2014.00	2917.00	3045.00	1073.00	71.85	NA	NA
BGM-0551	2011	BR.BAG2.PT.11.EA1	1	5050.00	1805.00	3245.00	2757.00	1118.00	69.40	NA	NA
BGM-0551	2011	BR.BAG2.PT.11.EA1	2	5077.00	1809.00	3268.00	2772.00	1121.00	69.45	NA	NA
BGM-0552	2011	BR.BAG2.PT.11.EA1	1	4495.00	1436.00	3059.00	2227.00	791.00	67.80	NA	NA
BGM-0552	2011	BR.BAG2.PT.11.EA1	2	4454.00	1440.00	3014.00	2188.00	748.00	67.80	NA	NA
BGM-0553	2011	BR.BAG2.PT.11.EA1	2	4880.00	1659.00	3221.00	2387.00	734.00	70.15	NA	NA
BGM-0556	2011	BR.BAG2.PT.11.EA1	1	4685.00	1677.00	3008.00	2731.00	1054.00	71.05	NA	NA
BGM-0556	2011	BR.BAG2.PT.11.EA1	2	4721.00	1677.00	3044.00	2766.00	1089.00	71.10	NA	NA
BGM-0557	2011	BR.BAG2.PT.11.EA1	1	3901.00	1454.00	2447.00	2734.00	1286.00	70.15	NA	NA
BGM-0557	2011	BR.BAG2.PT.11.EA1	2	4326.50	1672.00	2654.50	2929.00	1268.00	70.93	NA	NA
BGM-0561	2011	BR.BAG2.PT.11.EA1	1	5268.00	1689.50	3578.50	3080.00	1407.50	68.58	NA	NA
BGM-0561	2011	BR.BAG2.PT.11.EA1	2	5249.00	1680.00	3569.00	3013.00	1371.50	68.60	NA	NA
BGM-0562	2011	BR.BAG2.PT.11.EA1	2	4721.00	1818.00	2903.00	2964.00	1205.00	70.95	NA	NA
BGM-0563	2011	BR.BAG2.PT.11.EA1	2	4957.00	1987.00	2970.00	2965.00	1078.00	71.85	NA	NA
BGM-0565	2011	BR.BAG2.PT.11.EA1	1	4649.00	1774.00	2875.00	2608.00	857.00	70.05	NA	NA
BGM-0565	2011	BR.BAG2.PT.11.EA1	2	5998.00	2021.00	3977.00	3020.00	1074.00	70.15	NA	NA
BGM-0566	2011	BR.BAG2.PT.11.EA1	2	4667.00	1934.00	2733.00	2969.00	1131.00	70.90	NA	NA
BGM-0567	2011	BR.BAG2.PT.11.EA1	1	4063.00	1499.00	2564.00	2735.00	1236.00	69.45	NA	NA
BGM-0567	2011	BR.BAG2.PT.11.EA1	2	4099.00	1404.00	2695.00	2727.00	1323.00	69.55	NA	NA
BGM-0569	2011	BR.BAG2.PT.11.EA1	1	4652.00	1799.00	2853.00	2923.00	1198.00	70.15	NA	NA
BGM-0569	2011	BR.BAG2.PT.11.EA1	2	4336.00	1792.50	2543.50	2744.50	1023.00	71.48	NA	NA
BGM-0570	2011	BR.BAG2.PT.11.EA1	2	4831.00	1723.00	3108.00	2847.00	1159.00	73.40	NA	NA
BGM-0571	2011	BR.BAG2.PT.11.EA1	2	4761.00	2108.00	2653.00	3337.00	1294.00	70.95	NA	NA
BGM-0572	2011	BR.BAG2.PT.11.EA1	1	3746.00	1569.00	2177.00	2411.00	878.00	72.70	NA	NA
BGM-0572	2011	BR.BAG2.PT.11.EA1	2	3722.00	1571.00	2151.00	2468.00	935.00	72.65	NA	NA
BGM-0573	2011	BR.BAG2.PT.11.EA1	1	5542.00	2286.00	3256.00	3239.00	1073.00	69.30	NA	NA
BGM-0573	2011	BR.BAG2.PT.11.EA1	2	5732.00	2328.00	3404.00	3243.00	1144.00	69.25	NA	NA
BGM-0574	2011	BR.BAG2.PT.11.EA1	1	4125.00	1576.00	2549.00	2789.00	1213.00	69.45	NA	NA
BGM-0574	2011	BR.BAG2.PT.11.EA1	2	4132.00	1575.00	2557.00	2835.00	1260.00	68.65	NA	NA
BGM-0575	2011	BR.BAG2.PT.11.EA1	1	5111.00	1890.00	3221.00	3170.00	1363.00	69.40	NA	NA
BGM-0575	2011	BR.BAG2.PT.11.EA1	2	4837.00	1832.50	3004.50	3157.50	1428.50	70.60	NA	NA
BGM-0576	2011	BR.BAG2.PT.11.EA1	1	4635.00	1718.00	2917.00	2511.00	793.00	69.55	NA	NA
BGM-0576	2011	BR.BAG2.PT.11.EA1	2	4686.00	1728.00	2958.00	2476.00	748.00	69.45	NA	NA
BGM-0579	2011	BR.BAG2.PT.11.EA1	1	4829.00	1728.00	3101.00	3251.00	1630.00	68.50	NA	NA
BGM-0579	2011	BR.BAG2.PT.11.EA1	2	4872.00	1921.50	2950.50	3287.50	1430.00	69.43	NA	NA
BGM-0580	2011	BR.BAG2.PT.11.EA1	2	4781.00	1867.00	2914.00	2812.00	1049.00	71.90	NA	NA
BGM-0581	2011	BR.BAG2.PT.11.EA1	2	4659.00	1643.00	3016.00	2467.00	834.00	71.80	NA	NA
BGM-0582	2011	BR.BAG2.PT.11.EA1	2	4865.00	1651.00	3214.00	2666.00	1015.00	73.45	NA	NA
BGM-0583	2011	BR.BAG2.PT.11.EA1	1	4926.00	1451.00	3475.00	3220.00	1789.00	68.50	NA	NA
BGM-0583	2011	BR.BAG2.PT.11.EA1	2	4070.00	1462.50	2607.50	2809.00	1378.50	70.20	NA	NA
BGM-0584	2011	BR.BAG2.PT.11.EA1	2	4853.00	1811.00	3042.00	3018.00	1421.00	71.95	NA	NA
BGM-0585	2011	BR.BAG2.PT.11.EA1	1	5301.00	1897.00	3404.00	3176.00	1306.00	69.35	NA	NA
BGM-0585	2011	BR.BAG2.PT.11.EA1	2	5290.00	1963.00	3327.00	3125.00	1271.00	69.25	NA	NA
BGM-0586	2011	BR.BAG2.PT.11.EA1	2	4548.00	1879.00	2669.00	3114.00	1275.00	71.85	NA	NA
BGM-0587	2011	BR.BAG2.PT.11.EA1	1	5310.00	2028.00	3282.00	3281.00	1406.00	69.40	NA	NA
BGM-0587	2011	BR.BAG2.PT.11.EA1	2	5197.00	2019.00	3178.00	3226.00	1275.00	68.55	NA	NA
BGM-0588	2011	BR.BAG2.PT.11.EA1	2	4907.00	1883.00	3024.00	2804.00	965.00	72.65	NA	NA
BGM-0589	2012	BR.BAG1.PT.12.EA1	2	3404.00	1373.00	2031.00	2318.00	946.00	71.85	NA	NA
BGM-0590	2012	BR.BAG1.PT.12.EA1	2	4621.00	1734.00	2887.00	2621.00	1024.00	71.80	NA	NA
BGM-0591	2012	BR.BAG1.PT.12.EA1	1	5028.00	2031.50	2996.50	3118.50	1210.00	69.38	NA	NA
BGM-0591	2012	BR.BAG1.PT.12.EA1	2	5156.50	2043.50	3113.00	3260.50	1325.00	69.38	NA	NA
BGM-0592	2012	BR.BAG1.PT.12.EA1	1	4729.00	1585.50	3143.50	2415.00	836.50	71.80	NA	NA
BGM-0592	2012	BR.BAG1.PT.12.EA1	2	4759.50	1343.50	3416.00	1956.00	612.50	71.03	NA	NA
BGM-0593	2012	BR.BAG1.PT.12.EA1	2	5061.00	2040.00	3021.00	3054.00	1026.00	72.70	NA	NA
BGM-0597	2012	BR.BAG1.PT.12.EA1	1	4037.00	1643.00	2394.00	2335.00	753.00	74.40	NA	NA
BGM-0597	2012	BR.BAG1.PT.12.EA1	2	4189.00	1709.00	2480.00	2434.00	725.00	73.35	NA	NA
BGM-0598	2012	BR.BAG1.PT.12.EA1	1	4449.00	1501.00	2948.00	2433.00	932.00	71.10	NA	NA
BGM-0598	2012	BR.BAG1.PT.12.EA1	2	4521.00	1528.00	2993.00	2501.00	973.00	70.15	NA	NA
BGM-0600	2012	BR.BAG1.PT.12.EA1	1	5723.00	1853.00	3870.00	3613.00	1888.00	67.00	NA	NA
BGM-0600	2012	BR.BAG1.PT.12.EA1	2	5660.00	1884.00	3776.00	3539.00	1839.00	66.20	NA	NA
BGM-0601	2012	BR.BAG1.PT.12.EA1	1	4895.00	1694.00	3201.00	2710.00	1016.00	69.50	NA	NA
BGM-0601	2012	BR.BAG1.PT.12.EA1	2	4812.00	1677.00	3135.00	2680.00	1003.00	69.45	NA	NA
BGM-0602	2012	BR.BAG1.PT.12.EA1	2	4790.00	2023.00	2767.00	3263.00	1352.00	71.90	NA	NA
BGM-0603	2012	BR.BAG1.PT.12.EA1	1	5733.00	2114.00	3619.00	3119.00	1077.00	69.30	NA	NA
BGM-0603	2012	BR.BAG1.PT.12.EA1	2	4636.50	1591.00	3045.50	2427.00	874.00	70.18	NA	NA
BGM-0604	2012	BR.BAG1.PT.12.EA1	1	4494.00	1725.00	2769.00	2741.00	1049.00	73.45	NA	NA
BGM-0604	2012	BR.BAG1.PT.12.EA1	2	4552.00	1724.00	2828.00	2721.00	1028.00	73.40	NA	NA
BGM-0606	2012	BR.BAG1.PT.12.EA1	2	4813.00	1989.00	2824.00	2772.00	810.00	70.10	NA	NA
BGM-0608	2012	BR.BAG1.PT.12.EA1	1	4605.00	1799.00	2806.00	2711.00	923.00	70.15	NA	NA
BGM-0608	2012	BR.BAG1.PT.12.EA1	2	4609.00	1821.00	2788.00	2672.00	851.00	71.00	NA	NA
BGM-0609	2012	BR.BAG1.PT.12.EA1	1	4896.00	1725.00	3171.00	2707.00	988.00	70.20	NA	NA
BGM-0609	2012	BR.BAG1.PT.12.EA1	2	4770.00	1737.00	3033.00	2678.00	941.00	71.40	NA	NA
BGM-0610	2012	BR.BAG1.PT.12.EA1	2	4164.00	1294.00	2870.00	1824.00	568.00	71.80	NA	NA
BGM-0611	2012	BR.BAG1.PT.12.EA1	1	4189.00	1494.00	2695.00	2339.00	845.00	69.50	NA	NA
BGM-0611	2012	BR.BAG1.PT.12.EA1	2	4084.00	1518.00	2566.00	2363.00	845.00	69.50	NA	NA
BGM-0615	2012	BR.BAG1.PT.12.EA1	1	4850.00	1501.00	3349.00	2513.00	1012.00	71.10	NA	NA
BGM-0615	2012	BR.BAG1.PT.12.EA1	2	4779.00	1581.50	3197.50	2386.00	815.00	70.58	NA	NA
BGM-0618	2012	BR.BAG1.PT.12.EA1	1	3845.00	1092.00	2753.00	1567.00	483.00	71.80	NA	NA
BGM-0618	2012	BR.BAG1.PT.12.EA1	2	3955.00	1149.00	2806.00	1650.00	509.00	71.10	NA	NA
BGM-0619	2012	BR.BAG1.PT.12.EA1	1	4812.00	1600.00	3212.00	2815.00	1240.00	70.20	NA	NA
BGM-0619	2012	BR.BAG1.PT.12.EA1	2	4392.50	1592.00	2800.50	2495.50	927.00	71.45	NA	NA
BGM-0620	2012	BR.BAG1.PT.12.EA1	1	4218.33	1594.33	2624.00	2488.33	917.33	71.30	NA	NA
BGM-0620	2012	BR.BAG1.PT.12.EA1	2	4215.67	1626.33	2589.33	2527.33	914.00	71.55	NA	NA
BGM-0621	2012	BR.BAG1.PT.12.EA1	2	5035.00	2030.00	3005.00	3107.00	1253.00	71.00	NA	NA
BGM-0623	2012	BR.BAG1.PT.12.EA1	1	4900.00	1966.00	2934.00	2967.00	1043.00	69.35	NA	NA
BGM-0623	2012	BR.BAG1.PT.12.EA1	2	4895.00	1922.00	2973.00	2915.00	1097.00	69.40	NA	NA
BGM-0624	2012	BR.BAG1.PT.12.EA1	2	4893.00	2459.00	2434.00	3384.00	1175.00	70.05	NA	NA
BGM-0626	2012	BR.BAG1.PT.12.EA1	1	4621.00	1737.00	2884.00	2597.00	917.00	72.60	NA	NA
BGM-0626	2012	BR.BAG1.PT.12.EA1	2	4621.00	1714.00	2907.00	2574.00	945.00	72.55	NA	NA
BGM-0630	2012	BR.BAG1.PT.12.EA1	1	4617.00	1756.00	2861.00	2575.00	819.00	68.65	NA	NA
BGM-0630	2012	BR.BAG1.PT.12.EA1	2	4553.00	1750.00	2803.00	2514.00	816.00	68.65	NA	NA
BGM-0631	2012	BR.BAG1.PT.12.EA1	1	5371.00	1262.00	4109.00	2531.00	1269.00	69.40	NA	NA
BGM-0631	2012	BR.BAG1.PT.12.EA1	2	5227.00	1266.00	3961.00	2580.00	1314.00	69.40	NA	NA
BGM-0633	2012	BR.BAG1.PT.12.EA1	1	5158.00	1810.00	3348.00	2612.00	829.00	66.20	NA	NA
BGM-0633	2012	BR.BAG1.PT.12.EA1	2	5156.00	1825.00	3331.00	2625.00	800.00	66.15	NA	NA
BGM-0634	2012	BR.BAG1.PT.12.EA1	1	5449.00	2299.00	3150.00	3507.00	1243.00	66.95	NA	NA
BGM-0634	2012	BR.BAG1.PT.12.EA1	2	5421.00	2276.00	3145.00	3400.00	1203.00	67.10	NA	NA
BGM-0635	2012	BR.BAG1.PT.12.EA1	1	4644.50	1616.00	3028.50	2320.50	739.50	69.40	NA	NA
BGM-0635	2012	BR.BAG1.PT.12.EA1	2	4636.00	1606.50	3029.50	2317.50	744.50	68.58	NA	NA
BGM-0636	2012	BR.BAG1.PT.12.EA1	1	4337.00	1520.00	2817.00	2529.00	1009.00	69.45	NA	NA
BGM-0636	2012	BR.BAG1.PT.12.EA1	2	4343.00	1537.00	2806.00	2656.00	1119.00	70.20	NA	NA
BGM-0637	2012	BR.BAG1.PT.12.EA1	1	5009.00	2041.00	2968.00	2972.00	951.00	71.10	NA	NA
BGM-0637	2012	BR.BAG1.PT.12.EA1	2	4947.00	2037.00	2910.00	3059.00	1190.00	71.10	NA	NA
BGM-0638	2012	BR.BAG1.PT.12.EA1	1	5092.00	1691.00	3401.00	2380.00	689.00	70.20	NA	NA
BGM-0638	2012	BR.BAG1.PT.12.EA1	2	5075.00	1721.00	3354.00	2433.00	712.00	71.05	NA	NA
BGM-0639	2012	BR.BAG1.PT.12.EA1	1	4162.00	1533.00	2629.00	2070.00	559.00	71.00	NA	NA
BGM-0639	2012	BR.BAG1.PT.12.EA1	2	4175.00	1503.00	2672.00	2047.00	557.00	70.95	NA	NA
BGM-0640	2012	BR.BAG1.PT.12.EA1	1	4888.00	1944.00	2944.00	2742.00	798.00	71.05	NA	NA
BGM-0640	2012	BR.BAG1.PT.12.EA1	2	4848.00	1897.00	2951.00	2728.00	831.00	70.20	NA	NA
BGM-0642	2012	BR.BAG1.PT.12.EA1	1	4399.00	1472.00	2927.00	2628.00	1156.00	71.05	NA	NA
BGM-0642	2012	BR.BAG1.PT.12.EA1	2	4475.00	1495.00	2980.00	2638.00	1143.00	71.00	NA	NA
BGM-0645	2012	BR.BAG1.PT.12.EA1	1	4747.00	1660.00	3087.00	2543.00	979.00	70.15	NA	NA
BGM-0645	2012	BR.BAG1.PT.12.EA1	2	4672.00	1645.00	3027.00	2558.00	1021.00	70.25	NA	NA
BGM-0647	2012	BR.BAG1.PT.12.EA1	1	4593.00	1773.00	2820.00	2528.00	819.00	71.00	NA	NA
BGM-0647	2012	BR.BAG1.PT.12.EA1	2	4524.00	1764.00	2760.00	2528.00	820.00	71.05	NA	NA
BGM-0649	2012	BR.BAG1.PT.12.EA1	1	4772.00	1961.00	2811.00	3146.00	1261.00	71.00	NA	NA
BGM-0649	2012	BR.BAG1.PT.12.EA1	2	4808.00	1994.00	2814.00	3192.00	1211.00	71.65	NA	NA
BGM-0650	2012	BR.BAG1.PT.12.EA1	1	4550.00	1682.50	2867.50	2525.00	891.00	71.45	NA	NA
BGM-0650	2012	BR.BAG1.PT.12.EA1	2	4680.00	1726.50	2953.50	2557.00	851.00	71.73	NA	NA
BGM-0652	2012	BR.BAG1.PT.12.EA1	1	4812.00	2040.00	2772.00	2760.00	747.00	71.00	NA	NA
BGM-0652	2012	BR.BAG1.PT.12.EA1	2	4733.00	1973.00	2760.00	2780.00	844.00	71.10	NA	NA
BGM-0654	2012	BR.BAG1.PT.12.EA1	1	5737.00	2364.00	3373.00	3447.00	1116.00	70.15	NA	NA
BGM-0654	2012	BR.BAG1.PT.12.EA1	2	5692.00	2270.00	3422.00	3494.00	1311.00	70.20	NA	NA
BGM-0655	2012	BR.BAG1.PT.12.EA1	1	4466.00	1627.00	2839.00	2455.00	853.00	71.00	NA	NA
BGM-0655	2012	BR.BAG1.PT.12.EA1	2	4478.00	1652.00	2826.00	2449.00	831.00	71.00	NA	NA
BGM-0656	2012	BR.BAG1.PT.12.EA1	1	5412.00	2054.00	3358.00	3338.00	1438.00	67.70	NA	NA
BGM-0656	2012	BR.BAG1.PT.12.EA1	2	5403.00	2003.00	3400.00	3381.00	1459.00	67.10	NA	NA
BGM-0657	2012	BR.BAG1.PT.12.EA1	1	4308.00	1628.00	2680.00	2442.00	869.00	72.55	NA	NA
BGM-0657	2012	BR.BAG1.PT.12.EA1	2	4127.00	1524.00	2603.00	2526.00	1057.00	72.70	NA	NA
BGM-0658	2012	BR.BAG1.PT.12.EA1	1	4584.00	1809.00	2775.00	2699.00	934.00	70.20	NA	NA
BGM-0658	2012	BR.BAG1.PT.12.EA1	2	4525.00	1786.00	2739.00	2761.00	991.00	69.45	NA	NA
BGM-0659	2012	BR.BAG1.PT.12.EA1	1	4496.00	1652.00	2844.00	2719.00	1079.00	70.90	NA	NA
BGM-0659	2012	BR.BAG1.PT.12.EA1	2	4385.00	1598.00	2787.00	2735.00	1137.00	71.00	NA	NA
BGM-0660	2012	BR.BAG1.PT.12.EA1	1	4580.00	1833.00	2747.00	2879.00	1113.00	71.00	NA	NA
BGM-0660	2012	BR.BAG1.PT.12.EA1	2	4545.00	1836.00	2709.00	2944.00	1120.00	71.05	NA	NA
BGM-0661	2012	BR.BAG1.PT.12.EA1	1	4093.00	1584.00	2509.00	2264.00	680.00	71.80	NA	NA
BGM-0661	2012	BR.BAG1.PT.12.EA1	2	4080.00	1597.00	2483.00	2256.00	663.00	71.85	NA	NA
BGM-0662	2012	BR.BAG1.PT.12.EA1	1	5371.00	1924.00	3447.00	3101.00	1226.00	66.25	NA	NA
BGM-0662	2012	BR.BAG1.PT.12.EA1	2	5353.00	1913.00	3440.00	3096.00	1230.00	66.20	NA	NA
BGM-0663	2012	BR.BAG1.PT.12.EA1	1	4898.00	1973.00	2925.00	2669.00	746.00	68.50	NA	NA
BGM-0663	2012	BR.BAG1.PT.12.EA1	2	4898.00	1968.00	2930.00	2690.00	775.00	68.50	NA	NA
BGM-0665	2012	BR.BAG1.PT.12.EA1	1	5748.00	2342.00	3406.00	3435.00	1321.00	70.20	NA	NA
BGM-0665	2012	BR.BAG1.PT.12.EA1	2	5722.00	2369.00	3353.00	3506.00	1137.00	70.15	NA	NA
BGM-0666	2012	BR.BAG1.PT.12.EA1	1	4414.00	1663.00	2751.00	2485.00	822.00	70.20	NA	NA
BGM-0666	2012	BR.BAG1.PT.12.EA1	2	4414.00	1597.00	2817.00	2382.00	806.00	69.35	NA	NA
BGM-0667	2012	BR.BAG1.PT.12.EA1	1	4593.00	1666.00	2927.00	2692.00	1076.00	71.00	NA	NA
BGM-0667	2012	BR.BAG1.PT.12.EA1	2	4192.00	1568.00	2624.00	2613.00	1123.00	71.05	NA	NA
BGM-0668	2012	BR.BAG1.PT.12.EA1	1	4850.00	1858.00	2992.00	2738.00	945.00	72.55	NA	NA
BGM-0668	2012	BR.BAG1.PT.12.EA1	2	4875.00	1857.00	3018.00	2769.00	925.00	72.70	NA	NA
BGM-0669	2012	BR.BAG1.PT.12.EA1	1	5119.00	2168.00	2951.00	3443.00	1404.00	71.70	NA	NA
BGM-0669	2012	BR.BAG1.PT.12.EA1	2	4852.00	2044.00	2808.00	3334.00	1417.00	70.25	NA	NA
BGM-0670	2012	BR.BAG1.PT.12.EA1	1	4595.00	1598.67	2996.33	2510.00	934.67	67.85	NA	NA
BGM-0670	2012	BR.BAG1.PT.12.EA1	2	4635.67	1641.33	2994.33	2547.67	933.67	68.62	NA	NA
BGM-0671	2012	BR.BAG1.PT.12.EA1	1	4929.00	1897.00	3032.00	3046.00	1182.00	70.10	NA	NA
BGM-0671	2012	BR.BAG1.PT.12.EA1	2	4949.00	1805.50	3143.50	2988.00	1201.00	71.00	NA	NA
BGM-0673	2012	BR.BAG1.PT.12.EA1	1	4878.00	1475.00	3403.00	2125.00	674.00	70.20	NA	NA
BGM-0673	2012	BR.BAG1.PT.12.EA1	2	4748.00	1437.00	3311.00	2080.00	667.00	70.20	NA	NA
BGM-0677	2012	BR.BAG1.PT.12.EA1	1	4565.50	1390.50	3175.00	2062.00	682.00	71.45	NA	NA
BGM-0677	2012	BR.BAG1.PT.12.EA1	2	4586.50	1399.00	3187.50	2053.50	672.50	71.73	NA	NA
BGM-0678	2012	BR.BAG1.PT.12.EA1	1	4586.00	1452.00	3134.00	2373.00	921.00	67.95	NA	NA
BGM-0678	2012	BR.BAG1.PT.12.EA1	2	4594.00	1506.00	3088.00	2381.00	875.00	67.75	NA	NA
BGM-0679	2012	BR.BAG1.PT.12.EA1	1	4389.00	1610.00	2779.00	2592.00	990.00	70.25	NA	NA
BGM-0679	2012	BR.BAG1.PT.12.EA1	2	4361.00	1643.00	2718.00	2599.00	958.00	71.10	NA	NA
BGM-0681	2012	BR.BAG1.PT.12.EA1	1	4293.00	1341.00	2952.00	1855.00	519.00	72.50	NA	NA
BGM-0681	2012	BR.BAG1.PT.12.EA1	2	4276.00	1310.00	2966.00	1836.00	536.00	72.55	NA	NA
BGM-0685	2012	BR.BAG1.PT.12.EA1	1	4232.00	1660.00	2572.00	2587.00	980.00	71.03	NA	NA
