amostras	ano	ensaio	repeticao	peak_1	trough_1	breakdown	final_visc	setback	peak_time	pasting_temp	umidade_percent
BGM-0606	2020	BR.BAG.19.UFRB	2	3703.00	1074.00	2629.00	1728.00	654.00	3.80	73.50	15.17
BGM-0607	2021	BR.FTBAG.20.Candeal	1	3353.00	801.00	2552.00	1003.00	202.00	4.07	70.95	16.93
BGM-0607	2021	BR.FTBAG.20.Candeal	2	3285.00	783.00	2502.00	990.00	207.00	4.07	71.05	17.05
BGM-0636	2020	BR.BAG.19.UFRB	1	4676.00	1624.00	3052.00	2435.00	811.00	3.73	72.65	14.84
BGM-0636	2020	BR.BAG.19.UFRB	2	4636.00	1634.00	3002.00	2412.00	778.00	3.67	72.55	14.85
BGM-0659	2021	BR.FTBAG.20.Candeal	1	4181.00	1620.00	2561.00	2579.00	959.00	4.10	71.05	13.74
BGM-0659	2021	BR.FTBAG.20.Candeal	2	4150.00	1611.00	2539.00	2599.00	988.00	4.10	71.15	12.85
BGM-0668	2021	BR.FTBAG.20.Candeal	1	4022.00	1034.00	2988.00	1761.00	727.00	4.07	71.05	15.19
BGM-0668	2021	BR.FTBAG.20.Candeal	2	4049.00	1049.00	3000.00	1762.00	713.00	4.20	72.70	14.99
BGM-0669	2019	BR.BAG.19	1	4486.00	1655.00	2831.00	2417.00	762.00	3.93	71.15	13.55
BGM-0669	2019	BR.BAG.19	2	4496.00	1702.00	2794.00	2406.00	704.00	3.93	70.20	13.39
BGM-0673	2021	BR.FTBAG.20.Candeal	1	3863.00	1413.00	2450.00	2016.00	603.00	4.07	71.05	12.83
BGM-0673	2021	BR.FTBAG.20.Candeal	2	3880.00	1460.00	2420.00	2009.00	549.00	4.07	71.05	12.28
BGM-0695	2019	BR.BAG.19	1	4181.00	1620.00	2561.00	2579.00	959.00	4.13	71.05	NA
BGM-0695	2019	BR.BAG.19	2	4150.00	1611.00	2539.00	2599.00	988.00	4.13	71.15	NA
BGM-0703	2019	BR.BAG.19	1	4815.00	977.00	3838.00	1218.00	241.00	3.80	71.05	16.13
BGM-0703	2019	BR.BAG.19	2	4879.00	973.00	3906.00	1219.00	246.00	3.60	70.30	15.76
BGM-0714	2020	BR.BAG.19.UFRB	1	3504.00	1121.00	2383.00	1697.00	576.00	4.07	70.30	15.20
BGM-0714	2020	BR.BAG.19.UFRB	2	3467.00	1094.00	2373.00	1666.00	572.00	4.07	70.30	15.24
BGM-0717	2021	BR.FTBAG.20.Candeal	1	4543.00	1452.00	3091.00	2205.00	753.00	4.07	70.25	13.02
BGM-0717	2021	BR.FTBAG.20.Candeal	2	4567.00	1454.00	3113.00	2169.00	715.00	4.13	71.10	12.98
BGM-0718	2021	BR.FTBAG.20.Candeal	1	4088.00	1299.00	2789.00	2081.00	782.00	3.93	72.70	15.34
BGM-0718	2021	BR.FTBAG.20.Candeal	2	4073.00	1293.00	2780.00	2071.00	778.00	3.87	72.75	15.31
BGM-0729	2019	BR.BAG.19	1	4217.00	1047.00	3170.00	1301.00	254.00	3.53	69.50	14.22
BGM-0729	2019	BR.BAG.19	2	4287.00	1053.00	3234.00	1312.00	259.00	3.47	69.45	14.17
BGM-0737	2021	BR.BAG.19.UFRB	1	3561.00	1109.00	2452.00	1700.00	591.00	4.13	71.85	15.26
BGM-0737	2021	BR.BAG.19.UFRB	2	3573.00	1132.00	2441.00	1753.00	621.00	4.07	71.00	15.31
BGM-0760	2020	BR.BAG.19.UFRB	1	4138.00	1757.00	2381.00	2741.00	984.00	4.00	71.05	16.23
BGM-0760	2020	BR.BAG.19.UFRB	2	4344.00	1769.00	2575.00	2733.00	964.00	4.07	70.95	16.18
BGM-0779	2019	BR.BAG.19	1	3673.00	913.00	2760.00	1322.00	409.00	3.93	71.85	NA
BGM-0779	2019	BR.BAG.19	2	3754.00	941.00	2813.00	1365.00	424.00	3.93	71.75	NA
BGM-0793	2019	BR.BAG.19	1	3638.00	1182.00	2456.00	1740.00	558.00	4.00	74.35	13.53
BGM-0793	2019	BR.BAG.19	2	3607.00	1164.00	2443.00	1743.00	579.00	4.00	74.40	13.27
BGM-0808	2021	BR.FTBAG.20.Candeal	1	3341.00	1238.00	2103.00	1889.00	651.00	4.40	75.20	14.42
BGM-0808	2021	BR.FTBAG.20.Candeal	2	3341.00	1238.00	2103.00	1889.00	651.00	4.40	75.20	14.52
BGM-0820	2021	BR.FTBAG.20.Candeal	1	NA	NA	NA	NA	NA	NA	NA	14.57
BGM-0820	2021	BR.FTBAG.20.Candeal	2	NA	NA	NA	NA	NA	NA	NA	15.21
BGM-0831	2020	BR.BAG.19.UFRB	1	4680.00	1835.00	2845.00	2866.00	1031.00	4.20	68.65	14.87
BGM-0831	2020	BR.BAG.19.UFRB	2	4740.00	1776.00	2964.00	2902.00	1126.00	4.13	67.85	15.08
BGM-0850	2020	BR.BAG.19.UFRB	1	4872.00	1737.00	3135.00	2982.00	1245.00	4.00	68.65	15.03
BGM-0850	2020	BR.BAG.19.UFRB	2	4998.00	1822.00	3176.00	3109.00	1287.00	4.00	68.60	14.93
BGM-0859	2021	BR.BAG.19.UFRB	1	4102.00	1638.00	2464.00	2808.00	1170.00	4.00	71.75	14.53
