"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"7424-4","Q1","614","10.643322475570033","65.349999999999994","97.13","86.18","29.87","2.1949999999999998","77.611000000000004","0.92100000000000004","0.89200000000000002","32.880000000000003","244.37899999999999","248.441","100.974","2.3250000000000002"
"7424-4","Q2","605","9.6793388429752074","58.56","85.09","81.53","28.24","2.0880000000000001","75.978999999999999","0.91900000000000004","0.88600000000000001","31.29","245.13900000000001","253.84100000000001","103.15","2.2210000000000001"
"7424-4","Q3","532","9.746240601503759","51.85","68.84","74.22","25.34","1.9430000000000001","67.343999999999994","0.80800000000000005","0.90900000000000003","28.51","248.78","238.75","97.828000000000003","2.06"
"7424-4","Q4","591","9.1658206429780034","54.17","79.739999999999995","78.13","26.81","2.0270000000000001","77.680999999999997","0.93","0.88400000000000001","30.07","247.499","246.376","103.373","2.1629999999999998"
"7803-2","Q1","682","6.209677419354839","42.35","70.459999999999994","68.2","24.81","1.8069999999999999","64.516000000000005","0.94199999999999995","0.89200000000000002","27.94","189.952","205.381","103.61","1.905"
"7803-2","Q2","609","12.927750410509031","78.73","118.68","97.1","36.659999999999997","2.2930000000000001","59.457000000000001","0.90300000000000002","0.88100000000000001","41.77","99.507000000000005","99.061000000000007","111.621","2.5310000000000001"
"7803-2","Q3","465","17.21505376344086","80.05","96.4","94.02","36.19","2.3609999999999998","55.683999999999997","0.93300000000000005","0.89400000000000002","40.89","99.382999999999996","96.748000000000005","109.807","2.5499999999999998"
"7803-2","Q4","424","9.4127358490566042","39.909999999999997","44.92","62.33","25.62","1.7399999999999998","45.786000000000001","0.73299999999999998","0.999","29.03","96.46","98.105999999999995","118.202","1.78"
"7803-7","Q1","405","19.911111111111111","80.64","79.67","94.4","33.590000000000003","2.4829999999999997","73.534999999999997","0.93799999999999994","0.89400000000000002","37.020000000000003","196.99799999999999","204.2","106.26300000000001","2.6150000000000002"
"7803-7","Q2","338","27.189349112426036","91.9","76.89","99.01","37.32","2.5529999999999999","53.698999999999998","0.93799999999999994","0.90100000000000002","42.39","98.423000000000002","97.006","113.98699999999999","2.7349999999999999"
"7803-7","Q3","313","35.060702875399357","10.974","88.96","10.897","40.53","2.8460000000000001","64.058000000000007","0.94199999999999995","0.89600000000000002","45.94","99.534000000000006","97.811999999999998","110.622","3.016"
