"","amostras","ano","ensaio","repeticao","peak_1","trough_1","breakdown","final_visc","setback","peak_time","pasting_temp","umidade_percent"
"92","BGM-0162","2021","BR.FTBAG.20.Candeal","2",5046,1756,3290,3176,1420,3.7333333333,72.6,15.82
"93","BGM-0163",NA,NA,"1",3293,1328,1965,2053,725,4.2666666667,70.95,NA
"94","BGM-0163",NA,NA,"2",3426,1326,2100,2071,745,4.1333333333,70.25,NA
"95","BGM-0169","2021","BR.FTBAG.20.Candeal","1",4389,1628,2761,2436,808,4.2,72.6,13.43
"96","BGM-0169","2021","BR.FTBAG.20.Candeal","2",4318,1599,2719,2345,746,4.2,72.55,13.33
"97","BGM-0170",NA,NA,"1",4851,1625,3226,2258,633,3.5333333333,71.95,13.52
"98","BGM-0170",NA,NA,"2",4882,1645,3237,2260,615,3.4666666667,70.95,12.97
"99","BGM-0174",NA,NA,"1",4103,1653,2450,2372,719,4.1333333333,70.3,15.1
"100","BGM-0174",NA,NA,"2",4066,1689,2377,2435,746,4.1333333333,70.2,14.98
"101","BGM-0178",NA,NA,"1",3756,1313,2443,1958,645,3.8666666667,74.3,16.12
"102","BGM-0178",NA,NA,"2",3758,1305,2453,1917,612,3.9333333333,75.1,15.87
"103","BGM-0202",NA,NA,"1",4557,1681,2876,2434,753,4,70.9,17.01
"104","BGM-0202",NA,NA,"2",4536,1633,2903,2397,764,3.9333333333,71.15,17.06
"105","BGM-0236",NA,NA,"1",3784,1642,2142,2329,687,4,68.65,14.87
"106","BGM-0236",NA,NA,"2",3911,1644,2267,2361,717,4.0666666667,69.35,15.23
"107","BGM-0238",NA,NA,"1",5585,1773,3812,2586,813,3.8,71,14.87
"108","BGM-0238",NA,NA,"2",5532,1762,3770,2583,821,3.7333333333,71,15.23
"109","BGM-0248","2020","BR.BAG.19.UFRB","1",4654,1716,2938,2504,788,3.9333333333,71.8,15.358
"110","BGM-0248","2020","BR.BAG.19.UFRB","2",4530,1715,2815,2505,790,3.9333333333,72.65,15.88
"111","BGM-0248",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,14.31
"112","BGM-0248",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,14.01
"113","BGM-0249",NA,NA,"1",4495,1580,2915,2966,1386,3.6666666667,72.65,15.68
"114","BGM-0249",NA,NA,"2",4494,1608,2886,2962,1354,3.6666666667,72.6,15.71
"115","BGM-0250",NA,NA,"1",3651,1446,2205,2096,650,3.8666666667,73.4,NA
"116","BGM-0250",NA,NA,"2",3619,1452,2167,2100,648,3.8,73.4,NA
"117","BGM-0257",NA,NA,"1",3413,690,2723,982,292,3.7333333333,71.1,13.59
"118","BGM-0257",NA,NA,"2",3424,718,2706,1018,300,3.7333333333,71.05,13.28
"119","BGM-0264",NA,NA,"1",5165,2006,3159,3236,1230,3.8,71.9,15.42
"120","BGM-0264",NA,NA,"2",5206,1917,3289,3135,1218,3.8666666667,71.7,15.43
"121","BGM-0268",NA,NA,"1",3914,985,2929,1480,495,3.7333333333,70.2,13.06
"122","BGM-0268",NA,NA,"2",3908,988,2920,1506,518,3.7333333333,70.15,13.07
"123","BGM-0277",NA,NA,"1",5390,1869,3521,3179,1310,3.5333333333,72.6,15.8
"124","BGM-0277",NA,NA,"2",5375,1925,3450,3123,1198,3.6,72.6,15.79
"125","BGM-0284",NA,NA,"1",5402,1485,3917,2165,680,3.7333333333,70.15,14.05
"126","BGM-0284",NA,NA,"2",5279,1447,3832,2123,676,3.7333333333,70.15,14.13
"127","BGM-0285",NA,NA,"1",3986,1756,2230,2567,811,4.1333333333,73.4,14
"128","BGM-0285",NA,NA,"2",4020,1793,2227,2664,871,4.0666666667,72.7,14.11
"129","BGM-0286","2020","BR.BAGRec.19.Candeal","1",4713,1861,2852,2656,795,3.9333333333,69.3,15.82
"130","BGM-0286","2020","BR.BAGRec.19.Candeal","2",4444,1806,2638,2678,872,3.8666666667,69.45,16.58
"131","BGM-0288",NA,NA,"1",4910,1352,3558,2101,749,3.6666666667,70.3,15.21
"132","BGM-0288",NA,NA,"2",4957,1329,3628,2009,680,3.6,70.1,15.19
"133","BGM-0297","2020","BR.BAG.19.UFRB","1",4758,1874,2884,2826,952,4.0666666667,71.05,14.79
"134","BGM-0297","2020","BR.BAG.19.UFRB","2",4786,1826,2960,2765,939,4,70.25,14.66
"135","BGM-0306","2020","BR.BAG.19.UFRB","1",3696,1520,2176,2564,1044,4.2,74.35,14.41
"136","BGM-0306","2020","BR.BAG.19.UFRB","2",3721,1504,2217,2551,1047,4.2666666667,74.35,14.56
"137","BGM-0314","2021","BR.FTBAG.20.Candeal","1",4885,1804,3081,2742,938,4.0666666667,71.85,13.07
"138","BGM-0314","2021","BR.FTBAG.20.Candeal","2",4797,1734,3063,2695,961,4,71.85,13.09
"139","BGM-0316",NA,NA,"1",4732,2031,2701,2993,962,4.2,70.2,12.12
"140","BGM-0316",NA,NA,"2",4706,2006,2700,2980,974,4.2,69.3,11.9
"141","BGM-0338","2020","BR.BAG.19.UFRB","1",4358,1642,2716,2663,1021,3.9333333333,74.3,14.06
"142","BGM-0338","2020","BR.BAG.19.UFRB","2",4324,1655,2669,2685,1030,3.8666666667,74.4,13.94
"143","BGM-0349",NA,NA,"1",3958,1144,2814,1739,595,3.9333333333,72.6,11.07
"144","BGM-0349",NA,NA,"2",3840,1134,2706,1753,619,3.9333333333,71.75,11.28
"145","BGM-0356",NA,NA,"1",4791,1796,2995,3008,1212,3.7333333333,72.7,15.92
"146","BGM-0356",NA,NA,"2",4772,1668,3104,2968,1300,3.6666666667,72.65,16.02
"147","BGM-0365",NA,NA,"1",4219,933,3286,1392,459,3.7333333333,70.95,14.15
"148","BGM-0365",NA,NA,"2",4180,908,3272,1369,461,3.6666666667,71,13.96
"149","BGM-0368","2020","BR.BAG.19.UFRB","1",4671,1846,2825,2796,950,4.2,70.1,14.38
"150","BGM-0368","2020","BR.BAG.19.UFRB","2",4549,1854,2695,2858,1004,4.2666666667,71.05,14.77
"151","BGM-0380",NA,NA,"1",4574,1297,3277,1959,662,3.6,70.95,11.9
"152","BGM-0380",NA,NA,"2",4548,1292,3256,1947,655,3.6666666667,71.9,11.66
"153","BGM-0390","2020","BR.BAG.19.UFRB","1",4461,1746,2715,2903,1157,4,70.25,15.54
"154","BGM-0390","2020","BR.BAG.19.UFRB","2",4535,1810,2725,2960,1150,4.0666666667,70.1,16.38
"155","BGM-0406","2021","BR.FTBAG.20.Candeal","1",3866,1120,2746,1684,564,4,71.8,13.64
"156","BGM-0406","2021","BR.FTBAG.20.Candeal","2",3836,1107,2729,1649,542,4.0666666667,71.8,13.92
"157","BGM-0408","2021","BR.FTBAG.20.Candeal","1",3223,1363,1860,2036,673,3.9333333333,73.45,12.86
"158","BGM-0408","2021","BR.FTBAG.20.Candeal","2",3288,1396,1892,2074,678,3.9333333333,73.4,13.13
"159","BGM-0411","2021","BR.FTBAG.20.Candeal","1",4593,1714,2879,2607,893,4.0666666667,70.95,13.72
"160","BGM-0411","2021","BR.FTBAG.20.Candeal","2",4571,1705,2866,2597,892,4.0666666667,71.8,13.45
"161","BGM-0413","2021","BR.FTBAG.20.Candeal","1",4020,1534,2486,2438,904,3.9333333333,70.2,14.31
"162","BGM-0413","2021","BR.FTBAG.20.Candeal","2",4051,1512,2539,2434,922,3.9333333333,70.15,14.37
"163","BGM-0414","2021","BR.FTBAG.20.Candeal","1",3586,1263,2323,1828,565,4.2666666667,71.05,14.65
"164","BGM-0414","2021","BR.FTBAG.20.Candeal","2",3557,1259,2298,1827,568,4.2666666667,71.1,14.45
"165","BGM-0422",NA,NA,"1",4516,1728,2788,2771,1043,4.0666666667,69.45,14.01
"166","BGM-0422",NA,NA,"2",4642,1745,2897,2779,1034,4.2,70.3,13.72
"167","BGM-0425","2021","BR.FTBAG.20.Candeal","1",4534,1548,2986,2537,989,3.8666666667,71.1,14.94
"168","BGM-0425","2021","BR.FTBAG.20.Candeal","2",4657,1583,3074,2555,972,4.0666666667,72.6,15.24
"169","BGM-0470",NA,NA,"1",5018,1489,3529,2811,1322,3.8,71,12.67
"170","BGM-0470",NA,NA,"2",4836,1480,3356,2790,1310,3.8666666667,71.85,12.71
"171","BGM-0472",NA,NA,"1",3822,1173,2649,1756,583,4,70.3,12.35
"172","BGM-0472",NA,NA,"2",3783,1167,2616,1758,591,4,70.25,12.55
"173","BGM-0480",NA,NA,"1",4829,1613,3216,2423,810,3.8666666667,69.35,12.38
"174","BGM-0480",NA,NA,"2",4862,1629,3233,2483,854,3.9333333333,70.25,12.49
"175","BGM-0496","2021","BR.FTBAG.20.Candeal","1",4665,1384,3281,2175,791,3.9333333333,71.9,15.37
"176","BGM-0496","2021","BR.FTBAG.20.Candeal","2",4743,1421,3322,2186,765,3.9333333333,71.8,15.73
"177","BGM-0545",NA,NA,"1",4090,1379,2711,2209,830,3.8666666667,71.15,13.46
"178","BGM-0545",NA,NA,"2",4084,1382,2702,2199,817,3.8,71.05,12.88
"179","BGM-0555","2021","BR.FTBAG.20.Candeal","1",4620,1609,3011,2463,854,4.0666666667,71.8,15
"180","BGM-0555","2021","BR.FTBAG.20.Candeal","2",4814,1615,3199,2471,856,4.1333333333,71.8,15.26
"181","BGM-0562","2021","BR.FTBAG.20.Candeal","1",3902,1416,2486,2138,722,4.2,70.25,14.33
"182","BGM-0562","2021","BR.FTBAG.20.Candeal","2",3913,1423,2490,2149,726,4.2666666667,70.2,14.49
"183","BGM-0583","2020","BR.BAG.19.UFRB","1",4314,1632,2682,2752,1120,4.0666666667,72.6,14.26
"184","BGM-0583","2020","BR.BAG.19.UFRB","2",4324,1653,2671,2772,1119,4,72.6,13.97
"185","BGM-0606","2020","BR.BAG.19.UFRB","1",3724,1071,2653,1715,644,3.8,72.6,15
"186","BGM-0606","2020","BR.BAG.19.UFRB","2",3703,1074,2629,1728,654,3.8,73.5,15.17
"187","BGM-0607","2021","BR.FTBAG.20.Candeal","1",3353,801,2552,1003,202,4.0666666667,70.95,16.93
"188","BGM-0607","2021","BR.FTBAG.20.Candeal","2",3285,783,2502,990,207,4.0666666667,71.05,17.05
"189","BGM-0636","2020","BR.BAG.19.UFRB","1",4676,1624,3052,2435,811,3.7333333333,72.65,14.84
"190","BGM-0636","2020","BR.BAG.19.UFRB","2",4636,1634,3002,2412,778,3.6666666667,72.55,14.85
"191","BGM-0659","2021","BR.FTBAG.20.Candeal","1",4181,1620,2561,2579,959,4.1,71.05,13.74
"192","BGM-0659","2021","BR.FTBAG.20.Candeal","2",4150,1611,2539,2599,988,4.1,71.15,12.85
"193","BGM-0668","2021","BR.FTBAG.20.Candeal","1",4022,1034,2988,1761,727,4.0666666667,71.05,15.19
"194","BGM-0668","2021","BR.FTBAG.20.Candeal","2",4049,1049,3000,1762,713,4.2,72.7,14.99
"195","BGM-0669",NA,NA,"1",4486,1655,2831,2417,762,3.9333333333,71.15,13.55
"196","BGM-0669",NA,NA,"2",4496,1702,2794,2406,704,3.9333333333,70.2,13.39
"197","BGM-0673","2021","BR.FTBAG.20.Candeal","1",3863,1413,2450,2016,603,4.0666666667,71.05,12.83
"198","BGM-0673","2021","BR.FTBAG.20.Candeal","2",3880,1460,2420,2009,549,4.0666666667,71.05,12.28
"199","BGM-0695",NA,NA,"1",4181,1620,2561,2579,959,4.1333333333,71.05,NA
"200","BGM-0695",NA,NA,"2",4150,1611,2539,2599,988,4.1333333333,71.15,NA
"201","BGM-0703",NA,NA,"1",4815,977,3838,1218,241,3.8,71.05,16.13
"202","BGM-0703",NA,NA,"2",4879,973,3906,1219,246,3.6,70.3,15.76
"203","BGM-0714","2020","BR.BAG.19.UFRB","1",3504,1121,2383,1697,576,4.0666666667,70.3,15.2
"204","BGM-0714","2020","BR.BAG.19.UFRB","2",3467,1094,2373,1666,572,4.0666666667,70.3,15.24
"205","BGM-0717","2021","BR.FTBAG.20.Candeal","1",4543,1452,3091,2205,753,4.0666666667,70.25,13.02
"206","BGM-0717","2021","BR.FTBAG.20.Candeal","2",4567,1454,3113,2169,715,4.1333333333,71.1,12.98
"207","BGM-0718","2021","BR.FTBAG.20.Candeal","1",4088,1299,2789,2081,782,3.9333333333,72.7,15.34
"208","BGM-0718","2021","BR.FTBAG.20.Candeal","2",4073,1293,2780,2071,778,3.8666666667,72.75,15.31
"209","BGM-0729",NA,NA,"1",4217,1047,3170,1301,254,3.5333333333,69.5,14.22
"210","BGM-0729",NA,NA,"2",4287,1053,3234,1312,259,3.4666666667,69.45,14.17
"211","BGM-0737","2021","BR.BAG.19.UFRB","1",3561,1109,2452,1700,591,4.1333333333,71.85,15.26
"212","BGM-0737","2021","BR.BAG.19.UFRB","2",3573,1132,2441,1753,621,4.0666666667,71,15.31
"213","BGM-0760","2020","BR.BAG.19.UFRB","1",4138,1757,2381,2741,984,4,71.05,16.23
"214","BGM-0760","2020","BR.BAG.19.UFRB","2",4344,1769,2575,2733,964,4.0666666667,70.95,16.18
"215","BGM-0779",NA,NA,"1",3673,913,2760,1322,409,3.9333333333,71.85,NA
"216","BGM-0779",NA,NA,"2",3754,941,2813,1365,424,3.9333333333,71.75,NA
"217","BGM-0793",NA,NA,"1",3638,1182,2456,1740,558,4,74.35,13.53
"218","BGM-0793",NA,NA,"2",3607,1164,2443,1743,579,4,74.4,13.27
"219","BGM-0808","2021","BR.FTBAG.20.Candeal","1",3341,1238,2103,1889,651,4.4,75.2,14.42
"220","BGM-0808","2021","BR.FTBAG.20.Candeal","2",3341,1238,2103,1889,651,4.4,75.2,14.52
"221","BGM-0820","2021","BR.FTBAG.20.Candeal","1",NA,NA,NA,NA,NA,NA,NA,14.57
"222","BGM-0820","2021","BR.FTBAG.20.Candeal","2",NA,NA,NA,NA,NA,NA,NA,15.21
"223","BGM-0831","2020","BR.BAG.19.UFRB","1",4680,1835,2845,2866,1031,4.2,68.65,14.87
"224","BGM-0831","2020","BR.BAG.19.UFRB","2",4740,1776,2964,2902,1126,4.1333333333,67.85,15.08
"225","BGM-0850","2020","BR.BAG.19.UFRB","1",4872,1737,3135,2982,1245,4,68.65,15.03
"226","BGM-0850","2020","BR.BAG.19.UFRB","2",4998,1822,3176,3109,1287,4,68.6,14.93
"227","BGM-0859","2021","BR.BAG.19.UFRB","1",4102,1638,2464,2808,1170,4,71.75,14.53
"228","BGM-0859","2021","BR.BAG.19.UFRB","2",4096,1635,2461,2770,1135,4,71.9,15.51
"229","BGM-0873","2021","BR.FTBAG.20.Candeal","1",4379,1632,2747,2234,602,3.8666666667,70.2,14.52
"230","BGM-0873","2021","BR.FTBAG.20.Candeal","2",4357,1630,2727,2262,632,3.8666666667,70.25,14.38
"231","BGM-0878",NA,NA,"1",4029,776,3253,1043,267,3.6,69.5,15.72
"232","BGM-0878",NA,NA,"2",4017,783,3234,1037,254,3.6,69.4,15.6
"233","BGM-0879",NA,NA,"1",4766,1883,2883,2839,956,3.9333333333,72.6,16.7
"234","BGM-0879",NA,NA,"2",4684,1875,2809,2898,1023,4,73.4,16.76
"235","BGM-0882","2020","BR.BAG.19.UFRB","1",4686,1879,2807,2949,1070,4.1333333333,68.7,15.02
"236","BGM-0882","2020","BR.BAG.19.UFRB","2",4697,1886,2811,2974,1088,4.1333333333,68.7,15.34
"237","BGM-0885","2020","BR.BAG.19.UFRB","1",4807,1594,3213,3122,1528,3.7333333333,71.1,16.3
"238","BGM-0885","2020","BR.BAG.19.UFRB","2",4882,1641,3241,3145,1504,3.8666666667,71.05,16.6
"239","BGM-0886","2020","BR.BAG.19.UFRB","1",4834,1907,2927,3204,1297,3.7333333333,71.05,15.98
"240","BGM-0886","2020","BR.BAG.19.UFRB","2",4965,1958,3007,3131,1173,3.8,71.75,15.72
"241","BGM-0895",NA,NA,"1",2939,208,2731,246,38,3.7333333333,70.15,14.58
"242","BGM-0895",NA,NA,"2",2952,218,2734,256,38,3.8,71.05,15.07
"243","BGM-0900","2021","BR.FTBAG.20.Candeal","1",4151,1423,2728,2210,787,4.0666666667,70.3,13.71
"244","BGM-0900","2021","BR.FTBAG.20.Candeal","2",4134,1435,2699,2186,751,4.1333333333,71,14.04
"245","BGM-0901",NA,NA,"1",4279,1578,2701,2323,745,4.1333333333,71.05,12.22
"246","BGM-0901",NA,NA,"2",4220,1580,2640,2324,744,4.1333333333,71.8,11.96
"247","BGM-0902",NA,NA,"1",4336,1391,2945,2008,617,3.8666666667,71,12.86
"248","BGM-0902",NA,NA,"2",4288,1372,2916,1981,609,3.8,70.25,13.27
"249","BGM-0914",NA,NA,"1",3047,694,2353,1034,340,3.8666666667,72.7,16.85
"250","BGM-0914",NA,NA,"2",2955,690,2265,1022,332,3.8666666667,72.6,16.8
"251","BGM-0918",NA,NA,"1",4767,1733,3034,2480,747,3.9333333333,71.8,16.5
"252","BGM-0918",NA,NA,"2",4757,1729,3028,2486,757,3.8666666667,71.1,16.52
"253","BGM-0919",NA,NA,"1",4490,881,3609,1132,251,3.6,70.2,15.34
"254","BGM-0919",NA,NA,"2",4368,825,3543,1069,244,3.6666666667,70.25,16.58
"255","BGM-0920",NA,NA,"1",3977,998,2979,1484,486,3.7333333333,71,13.2
"256","BGM-0920",NA,NA,"2",3865,991,2874,1475,484,3.7333333333,70.15,13.44
"257","BGM-0925",NA,NA,"1",4083,1491,2592,2034,543,3.6,71,18.43
